J,R,E,M,E_Num,algo,n_subtypes,mallows_temperature,kendalls_w,runtime,kendalls_tau,subtype_acc,mean_stage_healthy,runtime_cross_validation,absolute_error_n_subtypes,relative_error,correct_bool
300,0.25,Exp 10: xi (Normal) & Continuous kj (Skewed) & X (Sigmoid),0,10,BebmS,4,0.3496260703561631,0.576048951048951,2.3929524540901186,0.3939393939393939,0.6648356043554865,0.0945945945945946,,,100,100
300,0.25,Exp 10: xi (Normal) & Continuous kj (Skewed) & X (Sigmoid),0,10,BebmS (Blind),4,0.3496260703561631,0.576048951048951,3.1270281354586285,0.4318181818181819,0.5209501877462485,1.4324324324324325,,3.0,100,100
300,0.25,Exp 10: xi (Normal) & Continuous kj (Skewed) & X (Sigmoid),0,10,Random Guessing,4,0.3496260703561631,0.576048951048951,0.0,0.4090909090909091,-0.006223650984622712,6.135135135135135,,3.0,100,100
300,0.25,Exp 10: xi (Normal) & Continuous kj (Skewed) & X (Sigmoid),0,10,SuStaIn (GMM),4,0.3496260703561631,0.576048951048951,6.4227179646492,0.37499999999999994,0.3668078240777865,7.621621621621622,,,100,100
300,0.25,Exp 10: xi (Normal) & Continuous kj (Skewed) & X (Sigmoid),0,10,SuStaIn (KDE),4,0.3496260703561631,0.576048951048951,6.379740929603576,0.42424242424242425,0.7650580091765992,2.391891891891892,,,100,100
300,0.25,Exp 10: xi (Normal) & Continuous kj (Skewed) & X (Sigmoid),1,10,BebmS,5,0.2597957938285418,0.5037762237762238,3.1197552124659222,0.4,0.5099784370094312,0.8888888888888888,,,100,100
300,0.25,Exp 10: xi (Normal) & Continuous kj (Skewed) & X (Sigmoid),1,10,BebmS (Blind),5,0.2597957938285418,0.5037762237762238,3.532443694273631,0.32727272727272727,0.5585918174944694,2.125,,4.0,100,100
300,0.25,Exp 10: xi (Normal) & Continuous kj (Skewed) & X (Sigmoid),1,10,Random Guessing,5,0.2597957938285418,0.5037762237762238,0.0,0.4666666666666667,-0.005218987047738506,6.041666666666667,,4.0,100,100
300,0.25,Exp 10: xi (Normal) & Continuous kj (Skewed) & X (Sigmoid),1,10,SuStaIn (GMM),5,0.2597957938285418,0.5037762237762238,9.11673614581426,0.4454545454545455,0.4069141574323456,8.430555555555555,,,100,100
300,0.25,Exp 10: xi (Normal) & Continuous kj (Skewed) & X (Sigmoid),1,10,SuStaIn (KDE),5,0.2597957938285418,0.5037762237762238,7.568075855573018,0.3696969696969697,0.6826738910859335,2.361111111111111,,,100,100
300,0.25,Exp 10: xi (Normal) & Continuous kj (Skewed) & X (Sigmoid),2,10,BebmS,4,0.48582193834789167,0.5944055944055944,2.041069765885671,0.3787878787878788,0.3732361040118279,0.06756756756756757,,,100,100
300,0.25,Exp 10: xi (Normal) & Continuous kj (Skewed) & X (Sigmoid),2,10,BebmS (Blind),4,0.48582193834789167,0.5944055944055944,2.366741347312927,0.5,0.40052747224619306,2.0675675675675675,,1.0,100,100
300,0.25,Exp 10: xi (Normal) & Continuous kj (Skewed) & X (Sigmoid),2,10,Random Guessing,4,0.48582193834789167,0.5944055944055944,0.0,0.44696969696969696,0.016445185200390205,6.45945945945946,,1.0,100,100
300,0.25,Exp 10: xi (Normal) & Continuous kj (Skewed) & X (Sigmoid),2,10,SuStaIn (GMM),4,0.48582193834789167,0.5944055944055944,5.245870959758759,0.4810606060606061,0.5243235855912981,6.324324324324325,,,100,100
300,0.25,Exp 10: xi (Normal) & Continuous kj (Skewed) & X (Sigmoid),2,10,SuStaIn (KDE),4,0.48582193834789167,0.5944055944055944,4.949498562018077,0.34469696969696967,0.7634159844294898,2.0405405405405403,,,100,100
